Sensor_1_A_Sample_Input,Sensor_1_B_Sample_Input,Sensor_2_A_Sample_Input,Sensor_2_B_Sample_Input,Sensor_3_A_Sample_Input,Sensor_3_B_Sample_Input,Sensor_4_A_Sample_Input,Sensor_4_B_Sample_Input,Golden_Reference_Class_Prediction,Gender
0,0,22,22,17,17,24,24,2,0
0,0,21,20,16,16,24,23,3,0
0,0,22,21,16,16,24,24,2,0
0,0,22,21,16,16,23,23,0,0
0,0,22,20,17,16,24,23,2,0
0,0,22,21,17,16,24,23,2,0
0,0,22,21,17,17,24,24,2,0
0,0,22,20,17,17,25,24,2,0
0,0,22,20,17,16,24,23,2,0
0,0,24,22,18,17,25,24,2,0
0,0,22,20,17,15,24,23,2,0
0,0,22,21,16,15,23,23,0,0
0,0,22,20,16,16,23,23,2,0
0,0,21,19,16,15,23,22,4,0
0,0,21,20,16,16,24,23,3,0
0,0,21,20,16,16,23,23,3,0
0,0,21,20,16,16,23,23,3,0
0,0,21,20,16,16,23,23,3,0
0,0,21,22,16,16,23,24,0,0
0,0,21,21,16,16,24,24,2,0
0,0,21,21,16,16,23,24,0,0
0,0,22,21,16,16,23,23,0,0
0,0,21,21,16,16,23,23,0,0
0,0,20,20,16,16,23,23,3,0
0,0,25,24,19,19,27,27,2,0
0,0,25,24,19,19,27,27,2,0
0,0,24,22,19,18,27,26,2,0
1,1,26,25,19,19,27,27,2,0
0,0,20,20,14,14,21,21,3,0
0,0,20,20,14,14,21,21,3,0
0,0,21,20,14,14,22,22,2,0
0,0,21,20,14,14,22,21,3,0
0,0,20,19,14,13,21,20,3,0
0,0,19,18,14,13,21,20,2,0
0,0,20,19,14,14,21,21,2,0
0,0,19,19,13,12,20,20,3,0
0,0,19,18,13,12,20,19,2,0
0,0,20,18,13,12,20,19,2,0
0,0,19,18,13,12,20,19,2,0
0,0,19,18,13,12,20,19,2,0
0,0,20,18,13,12,20,20,2,0
0,0,19,18,13,12,20,19,2,0
0,0,19,17,12,12,20,19,3,0
0,0,18,18,12,12,20,19,3,0
0,0,19,18,13,12,20,19,2,0
0,0,18,18,12,12,20,19,3,0
0,0,19,18,13,12,20,19,2,0
0,0,19,19,13,13,20,20,3,0
0,0,19,19,12,12,20,20,3,0
0,0,20,18,13,12,20,19,2,0
0,0,19,18,12,12,20,19,2,0
0,0,20,18,13,12,20,19,2,0
0,0,19,18,13,12,20,19,2,0
0,0,18,17,12,12,19,19,2,0
0,0,19,18,12,12,20,20,2,0
0,0,19,18,13,13,20,20,2,0
0,0,19,17,13,12,20,19,3,0
0,0,19,17,13,12,20,19,3,0
0,0,19,17,13,12,20,19,3,0
0,0,19,18,13,12,20,19,2,0
0,0,19,18,13,12,20,20,2,0
0,0,19,18,13,12,20,20,2,0
0,0,19,18,13,12,21,20,2,0
0,0,18,18,13,12,20,19,3,0
0,0,23,22,18,17,25,25,1,1
0,0,22,21,17,17,24,24,1,1
0,0,22,21,17,16,24,24,3,1
0,0,23,22,17,17,24,24,1,1
0,0,26,24,19,19,27,26,2,1
0,0,24,23,19,18,26,26,2,1
0,0,22,21,17,16,25,24,3,1
0,0,23,21,17,16,24,23,3,1
0,0,22,22,17,16,24,24,3,1
0,0,21,20,16,16,24,23,0,1
0,0,22,22,17,17,23,24,1,1
0,0,23,20,17,15,24,23,4,1
0,0,22,21,17,16,24,23,3,1
0,0,23,22,17,16,24,24,3,1
0,0,22,20,17,16,24,23,3,1
0,0,22,20,17,15,24,23,4,1
0,0,22,20,17,15,24,23,4,1
0,0,22,20,17,16,24,23,3,1
0,0,22,21,17,15,24,23,4,1
0,0,22,20,17,16,24,23,3,1
0,0,21,20,17,17,24,24,1,1
0,0,21,20,16,15,23,22,4,1
0,0,21,20,16,15,23,22,4,1
0,0,21,20,16,15,23,22,4,1
0,0,21,21,16,16,23,23,0,1
0,0,21,20,16,15,24,23,4,1
0,0,21,20,16,15,23,23,4,1
0,0,22,20,17,15,24,23,4,1
0,0,21,20,16,16,23,23,0,1
0,0,21,20,16,15,23,23,4,1
0,0,21,20,16,15,23,23,4,1
0,0,20,20,16,16,23,23,0,1
0,0,21,22,16,16,23,24,0,1
0,0,21,21,16,16,24,24,0,1
0,0,21,21,16,16,23,24,0,1
0,0,22,21,16,16,23,23,0,1
0,0,21,21,16,16,23,23,0,1
0,0,20,20,16,16,23,23,0,1
0,0,23,21,18,17,25,24,1,1
0,0,25,23,19,18,27,26,2,1
0,0,24,22,19,17,27,25,2,1
0,0,22,22,18,17,25,25,1,1
1,1,24,23,19,17,26,25,3,1
0,0,24,22,19,17,27,25,2,1
0,0,23,21,18,16,25,24,3,1
0,0,24,22,19,18,27,26,2,1
1,1,25,25,19,19,27,27,3,1
0,0,25,23,19,18,27,26,2,1
0,0,24,22,19,18,26,26,2,1
0,0,22,21,18,17,25,25,1,1
0,0,21,20,17,17,24,24,1,1
0,0,22,21,17,17,25,25,1,1
0,0,21,20,15,14,22,22,2,1
0,0,21,20,14,14,22,22,1,1
0,0,21,19,14,13,22,21,3,1
0,0,21,19,14,13,21,20,3,1
0,0,21,19,14,13,22,21,3,1
0,0,21,19,14,13,21,20,3,1
0,0,20,20,16,16,23,23,0,1
0,0,21,20,16,16,23,23,0,1
0,0,20,20,13,14,20,21,3,1
0,0,21,19,14,13,21,21,3,1
0,0,20,19,13,13,20,20,3,1
0,0,20,20,14,14,21,21,1,1
0,0,20,19,16,15,23,23,4,1
0,0,20,19,13,13,20,20,3,1
0,0,20,20,14,14,21,21,1,1
0,0,21,20,15,15,23,22,2,1
0,0,19,18,13,12,21,20,3,1
0,0,21,19,14,13,21,20,3,1
0,0,21,20,15,15,23,22,2,1
0,0,19,18,13,12,20,20,3,1
0,0,21,19,14,13,21,20,3,1
0,0,21,20,15,15,23,22,2,1
0,0,21,19,15,14,22,22,2,1
0,0,20,19,14,13,21,20,3,1
0,0,21,19,14,13,21,21,3,1
0,0,20,19,13,13,21,20,3,1
0,0,20,19,14,13,22,20,3,1
0,0,20,18,13,12,21,20,3,1
0,0,21,19,14,13,21,20,3,1
0,0,20,18,13,12,21,20,3,1
0,0,22,20,15,13,22,21,3,1
0,0,20,18,13,12,21,20,3,1
0,0,20,18,14,13,22,20,3,1
0,0,20,19,14,13,21,20,3,1
0,0,20,19,13,13,21,20,3,1
0,0,20,20,14,13,21,21,3,1
0,0,20,19,14,13,21,21,3,1
0,0,21,19,14,13,22,21,3,1
0,0,20,19,13,12,21,20,3,1
0,0,20,19,13,13,21,20,3,1
0,0,20,18,13,12,21,20,3,1
0,0,20,19,15,15,22,22,2,1
0,0,20,20,14,14,22,22,1,1
0,0,20,19,14,14,21,21,1,1
0,0,21,20,15,15,23,23,2,1
0,0,20,20,14,14,21,21,1,1
0,0,20,18,13,12,20,19,3,1
0,0,20,18,13,12,20,19,3,1
0,0,19,19,13,13,20,20,3,1
0,0,20,19,13,13,21,20,3,1
0,0,20,18,13,12,21,20,3,1
0,0,20,18,13,12,21,20,3,1
0,0,20,18,13,12,21,20,3,1
0,0,20,18,13,12,20,20,3,1
0,0,19,18,12,12,20,19,2,1
0,0,19,18,12,12,20,19,2,1
0,0,19,18,13,12,20,19,3,1
0,0,19,18,13,12,20,20,3,1
0,0,19,17,13,12,20,19,3,1
0,0,19,18,13,12,20,19,3,1
0,0,20,18,13,12,20,20,3,1
0,0,20,19,13,13,20,20,3,1
0,0,19,18,12,12,20,20,2,1
